width,num_params,optimizer,steps,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn,act_fn
"[784, 64, 64, 10]",55050,Adam,15000,0.0002,1e-06,2,2,0.02325181,0.071333714,0.9975599646568298,0.9729999899864197,plots/mlp_loss_2025-01-31_09-45-48.png,plots/mlp_acc_2025-01-31_09-45-56.png,weights/mlp_2025-01-31_09-45-59_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,5e-06,2,2,0.053091895,0.07207102,0.9930799603462219,0.9758999943733215,plots/mlp_loss_2025-01-31_09-49-34.png,plots/mlp_acc_2025-01-31_09-49-41.png,weights/mlp_2025-01-31_09-49-42_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,2,2,0.06251231,0.07492734,0.9882400035858154,0.9764999747276306,plots/mlp_loss_2025-01-31_09-52-13.png,plots/mlp_acc_2025-01-31_09-52-32.png,weights/mlp_2025-01-31_09-52-33_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,1e-05,2,2,0.0659258,0.077180475,0.985319972038269,0.972599983215332,plots/mlp_loss_2025-01-31_09-54-19.png,plots/mlp_acc_2025-01-31_09-54-25.png,weights/mlp_2025-01-31_09-54-26_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,4,0,0.073329374,0.08084736,0.9796399474143982,0.9715999960899353,plots/mlp_loss_2025-01-31_09-56-44.png,plots/mlp_acc_2025-01-31_09-56-47.png,weights/mlp_2025-01-31_09-56-48_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,0,4,0.020568743,0.08351491,0.9976399540901184,0.961899995803833,plots/mlp_loss_2025-01-31_09-58-33.png,plots/mlp_acc_2025-01-31_09-58-39.png,weights/mlp_2025-01-31_09-58-40_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,3,1,0.06822466,0.07834069,0.9835799932479858,0.973099946975708,plots/mlp_loss_2025-01-31_10-00-30.png,plots/mlp_acc_2025-01-31_10-00-37.png,weights/mlp_2025-01-31_10-00-38_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,1,1,0.049691427,0.07088003,0.9941999912261963,0.977400004863739,plots/mlp_loss_2025-01-31_10-35-15.png,plots/mlp_acc_2025-01-31_10-35-19.png,weights/mlp_2025-01-31_10-35-21_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,1,1,0.04994867,0.07117269,0.9941200017929077,0.9768999814987183,plots/mlp_loss_2025-01-31_10-38-35.png,plots/mlp_acc_2025-01-31_10-38-41.png,weights/mlp_2025-01-31_10-38-42_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,0,1,0.021034772,0.08488839,0.9978799819946289,0.9610999822616577,plots/mlp_loss_2025-01-31_10-43-13.png,plots/mlp_acc_2025-01-31_10-43-14.png,weights/mlp_2025-01-31_10-43-14_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,1,1,0.03574508,0.07039348,0.9971399903297424,0.973800003528595,plots/mlp_loss_2025-01-31_10-44-41.png,plots/mlp_acc_2025-01-31_10-44-41.png,weights/mlp_2025-01-31_10-44-41_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,2,1,0.04316181,0.0703551,0.9957000017166138,0.9756999611854553,plots/mlp_loss_2025-01-31_10-46-08.png,plots/mlp_acc_2025-01-31_10-46-08.png,weights/mlp_2025-01-31_10-46-08_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,3,1,0.049461845,0.07143999,0.9940999746322632,0.9763000011444092,plots/mlp_loss_2025-01-31_10-47-36.png,plots/mlp_acc_2025-01-31_10-47-36.png,weights/mlp_2025-01-31_10-47-36_state,,
