width,num_params,optimizer,steps,grid,k,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,100,5,3,0.01,0.0005,1,2,0.49719405,0.50469375,0.9332000017166138,0.9297999739646912,plots/kan_loss_2025-02-06_15-56-53.png,plots/kan_acc_2025-02-06_15-56-55.png,weights/kan_2025-02-06_15-56-56_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.5470298051242494,5.787134359268401e-07,4,3,0.406354,0.488665,0.9528999924659729,0.9296999573707581,plots/kan_loss_2025-02-06_18-07-28.png,plots/kan_acc_2025-02-06_18-07-28.png,weights/kan_2025-02-06_18-07-28_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.18265695998427675,1.682576845272546e-07,2,2,0.2944312,0.5427097,0.9781166911125183,0.9291999936103821,plots/kan_loss_2025-02-06_18-55-12.png,plots/kan_acc_2025-02-06_18-55-12.png,weights/kan_2025-02-06_18-55-12_state,CrossEntropy
"[[784, 0], [32, 0], [28, 0], [10, 0]]",246504,Adam,3000,5,3,4.633988180252455e-05,7.20796928587159e-05,2,1,0.065555386,0.121418774,0.9919333457946777,0.929099977016449,plots/kan_loss_2025-02-05_08-58-42.png,plots/kan_acc_2025-02-05_08-58-42.png,weights/kan_2025-02-05_08-58-42_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.84268997721674,1.6329712508548093e-06,1,1,0.428588,0.48412263,0.9464833736419678,0.929099977016449,plots/kan_loss_2025-02-06_20-48-07.png,plots/kan_acc_2025-02-06_20-48-07.png,weights/kan_2025-02-06_20-48-07_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.0788426620454372,3.4684742890795124e-06,0,0,0.26624602,0.5409407,0.984000027179718,0.9289999604225159,plots/kan_loss_2025-02-06_20-04-39.png,plots/kan_acc_2025-02-06_20-04-39.png,weights/kan_2025-02-06_20-04-39_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.02845692205235659,2.214834045657755e-06,3,2,0.3375451,0.5127435,0.9712666869163513,0.9283999800682068,plots/kan_loss_2025-02-06_17-54-25.png,plots/kan_acc_2025-02-06_17-54-25.png,weights/kan_2025-02-06_17-54-25_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.06830894727710153,1.325386167378178e-06,3,1,0.22660643,0.5460104,0.9903166890144348,0.9282999634742737,plots/kan_loss_2025-02-06_18-42-11.png,plots/kan_acc_2025-02-06_18-42-11.png,weights/kan_2025-02-06_18-42-11_state,CrossEntropy
"[[784, 0], [32, 0], [10, 0]]",238464,Adam,3000,5,3,0.00015018744602541124,1.2988622588406411e-07,2,1,0.20905022,0.49244466,0.9989500045776367,0.9277999997138977,plots/kan_loss_2025-02-05_03-07-27.png,plots/kan_acc_2025-02-05_03-07-27.png,weights/kan_2025-02-05_03-07-27_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.13115662391729377,1.2423516283764373e-07,1,0,0.22210768,0.5620856,0.9906666874885559,0.9271000027656555,plots/kan_loss_2025-02-06_17-32-42.png,plots/kan_acc_2025-02-06_17-32-42.png,weights/kan_2025-02-06_17-32-42_state,CrossEntropy
